rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0017,0.0023,-6.991,0.0,0.1,,,,,,,
0.0016,0.0009,-7.0577,0.0,0.1,,,,,,,
0.0028,0.0024,-7.0715,0.0,0.1,,,,,,,
0.0009,0.0028,-6.9728,0.0,0.1,,,,,,,
,,,,,110058,9720,387000,6.0,7.0,3321,20.9104
0.0037,0.0016,-7.0307,0.0,0.1,,,,,,,
0.002,0.0023,-7.0322,0.0,0.1,,,,,,,
0.0026,0.0032,-6.9811,0.0,0.1,,,,,,,
0.0017,0.0016,-6.9619,0.0,0.1,,,,,,,
0.0026,0.0027,-6.9697,0.0,0.1,,,,,,,
0.0013,0.001,-7.0714,0.0,0.1,,,,,,,
0.0016,0.0024,-7.0679,0.0,0.1,,,,,,,
0.0024,0.0016,-7.0351,0.0,0.1,,,,,,,
0.0021,0.0016,-7.0079,0.0,0.1,,,,,,,
0.0029,0.0029,-7.035,0.0,0.1,,,,,,,
0.0015,0.0022,-7.0046,0.0,0.1,,,,,,,
0.0028,0.0025,-7.064,0.0,0.1,,,,,,,
0.001,0.0015,-6.9519,0.0,0.1,,,,,,,
0.0021,0.0014,-7.0554,0.0,0.1,,,,,,,
,,,,,112508,10070,401000,6.0,7.0,3438,20.9246
0.002,0.0025,-7.0889,0.0,0.1,,,,,,,
0.0031,0.0027,-7.0548,0.0,0.1,,,,,,,
0.0006,0.0006,-7.06,0.0,0.1,,,,,,,
0.0023,0.0019,-7.0389,0.0,0.1,,,,,,,
0.0034,0.0037,-7.0797,0.0,0.1,,,,,,,
0.0019,0.0016,-7.1233,0.0,0.1,,,,,,,
0.0018,0.0011,-7.0867,0.0,0.1,,,,,,,
0.0017,0.0019,-7.0447,0.0,0.1,,,,,,,
0.0032,0.0022,-7.0399,0.0,0.1,,,,,,,
0.0016,0.0015,-7.1174,0.0,0.1,,,,,,,
0.0023,0.0023,-7.0971,0.0,0.1,,,,,,,
0.0024,0.0019,-7.0348,0.0,0.1,,,,,,,
0.0008,0.001,-7.0562,0.0,0.1,,,,,,,
0.0034,0.0031,-7.0941,0.0,0.1,,,,,,,
0.0015,0.0013,-7.0899,0.0,0.1,,,,,,,
,,,,,115133,10445,416000,6.0,7.0,3563,20.9576
0.0027,0.0034,-7.1098,0.0,0.1,,,,,,,
0.0026,0.0007,-7.1049,0.0,0.1,,,,,,,
0.0011,0.0008,-7.0679,0.0,0.1,,,,,,,
0.0015,0.0025,-7.1119,0.0,0.1,,,,,,,
0.0036,0.0023,-7.0755,0.0,0.1,,,,,,,
0.0008,0.0012,-7.0396,0.0,0.1,,,,,,,
0.0016,0.002,-7.0737,0.0,0.1,,,,,,,
0.0035,0.0038,-7.1124,0.0,0.1,,,,,,,
0.0006,0.0005,-7.0908,0.0,0.1,,,,,,,
0.0022,0.0017,-7.079,0.0,0.1,,,,,,,
0.0031,0.0031,-7.129,0.0,0.1,,,,,,,
0.0011,0.0012,-7.1132,0.0,0.1,,,,,,,
0.0021,0.0014,-7.1089,0.0,0.1,,,,,,,
0.0028,0.0033,-7.1298,0.0,0.1,,,,,,,
,,,,,117583,10795,430000,6.0,7.0,3680,21.0319
0.0008,0.0008,-7.105,0.0,0.1,,,,,,,
0.0037,0.0029,-7.1181,0.0,0.1,,,,,,,
0.0016,0.0009,-7.1198,0.0,0.1,,,,,,,
0.0011,0.0012,-7.096,0.0,0.1,,,,,,,
0.0026,0.003,-7.0972,0.0,0.1,,,,,,,
0.0029,0.0021,-7.1179,0.0,0.1,,,,,,,
0.0014,0.002,-7.1413,0.0,0.1,,,,,,,
0.0011,0.0009,-7.1827,0.0,0.1,,,,,,,
0.0036,0.0028,-7.079,0.0,0.1,,,,,,,
0.0009,0.001,-7.1196,0.0,0.1,,,,,,,
0.0013,0.0009,-7.1444,0.0,0.1,,,,,,,
0.0037,0.004,-7.1512,0.0,0.1,,,,,,,
0.0025,0.0019,-7.1274,0.0,0.1,,,,,,,
0.0014,0.0014,-7.1368,0.0,0.1,,,,,,,
,,,,,120033,11145,444000,6.0,7.0,3796,20.9934
0.0012,0.002,-7.1418,0.0,0.1,,,,,,,
0.0032,0.0016,-7.1426,0.0,0.1,,,,,,,
0.001,0.0028,-7.1075,0.0,0.1,,,,,,,
0.0014,0.0018,-7.149,0.0,0.1,,,,,,,
0.0023,0.0014,-7.1297,0.0,0.1,,,,,,,
0.0035,0.0032,-7.1304,0.0,0.1,,,,,,,
0.0014,0.001,-7.2049,0.0,0.1,,,,,,,
0.0028,0.0024,-7.1283,0.0,0.1,,,,,,,
0.0018,0.0023,-7.1522,0.0,0.1,,,,,,,
0.0032,0.0027,-7.1688,0.0,0.1,,,,,,,
0.001,0.0013,-7.1231,0.0,0.1,,,,,,,
0.0032,0.0025,-7.1159,0.0,0.1,,,,,,,
0.0011,0.0007,-7.161,0.0,0.1,,,,,,,
0.0015,0.0011,-7.1655,0.0,0.1,,,,,,,
0.0026,0.003,-7.1735,0.0,0.1,,,,,,,
,,,,,122658,11520,459000,6.0,7.0,3921,21.0388
0.0018,0.0016,-7.1643,0.0,0.1,,,,,,,
0.0022,0.0023,-7.2071,0.0,0.1,,,,,,,
0.0007,0.0005,-7.1861,0.0,0.1,,,,,,,
0.002,0.002,-7.1279,0.0,0.1,,,,,,,
0.0017,0.0021,-7.1547,0.0,0.1,,,,,,,
0.0028,0.0018,-7.1629,0.0,0.1,,,,,,,
0.0025,0.0017,-7.112,0.0,0.1,,,,,,,
0.0016,0.0019,-7.1362,0.0,0.1,,,,,,,
0.0016,0.0014,-7.1387,0.0,0.1,,,,,,,
0.0011,0.0005,-7.1573,0.0,0.1,,,,,,,
0.0025,0.0017,-7.1431,0.0,0.1,,,,,,,
0.0036,0.0034,-7.1626,0.0,0.1,,,,,,,
0.0012,0.0009,-7.1097,0.0,0.1,,,,,,,
0.0022,0.0018,-7.1731,0.0,0.1,,,,,,,
,,,,,125108,11870,473000,6.0,7.0,4038,21.0219
0.0023,0.0018,-7.1822,0.0,0.1,,,,,,,
0.0008,0.0008,-7.2263,0.0,0.1,,,,,,,
0.0039,0.0036,-7.1923,0.0,0.1,,,,,,,
0.0006,0.0003,-7.2356,0.0,0.1,,,,,,,
0.0028,0.0032,-7.1055,0.0,0.1,,,,,,,
0.0008,0.0009,-7.1467,0.0,0.1,,,,,,,
0.0035,0.0032,-7.1483,0.0,0.1,,,,,,,
0.0006,0.0005,-7.243,0.0,0.1,,,,,,,
0.0028,0.0033,-7.1972,0.0,0.1,,,,,,,
0.0014,0.0015,-7.1998,0.0,0.1,,,,,,,
0.0026,0.0024,-7.1704,0.0,0.1,,,,,,,
0.0018,0.0018,-7.1886,0.0,0.1,,,,,,,
0.0008,0.0005,-7.2021,0.0,0.1,,,,,,,
0.003,0.0028,-7.1215,0.0,0.1,,,,,,,
,,,,,127558,12220,487000,6.0,7.0,4154,20.977
0.0019,0.0016,-7.1803,0.0,0.1,,,,,,,
0.0008,0.0016,-7.1482,0.0,0.1,,,,,,,
0.0028,0.0021,-7.1878,0.0,0.1,,,,,,,
