rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,rl_loss/q_grad_norm,rl_loss/q_rnn_grad_norm,rl_loss/pi_grad_norm,rl_loss/pi_rnn_grad_norm,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
4.3587,4.3573,-1.9638,0.0,0.1,5.7078,4.6454,0.0,0.0,,,,,,,
,,,,,,,,,25142,1570,61000,2.0,9.0,3160,4.3707
4.4706,4.4686,-2.0196,0.0,0.1,2.3561,0.9773,0.0,0.0,,,,,,,
4.5191,4.5175,-2.039,0.0,0.1,13.1836,18.5778,0.0,0.0,,,,,,,
4.1735,4.1733,-2.0978,0.0,0.1,2.3638,0.9902,0.0,0.0,,,,,,,
3.9479,3.9483,-2.1806,0.0,0.1,2.1809,1.302,0.0,0.0,,,,,,,
4.427,4.422,-2.2178,0.0,0.1,2.1361,0.7772,0.0,0.0,,,,,,,
4.2397,4.2401,-2.2945,0.0,0.1,2.6478,0.7627,0.0,0.0,,,,,,,
4.3531,4.3532,-2.3177,0.0,0.1,1.9847,0.9415,0.0,0.0,,,,,,,
4.0299,4.028,-2.3034,0.0,0.1,3.0807,1.5195,0.0,0.0,,,,,,,
3.8277,3.8249,-2.2691,0.0,0.1,2.2611,1.5835,0.0,0.0,,,,,,,
3.9516,3.9501,-2.4226,0.0,0.1,2.0052,0.9591,0.0,0.0,,,,,,,
3.964,3.9567,-2.414,0.0,0.1,3.9925,2.6766,0.0,0.0,,,,,,,
4.0495,4.0486,-2.5087,0.0,0.1,2.6324,1.2089,0.0,0.0,,,,,,,
3.5892,3.5899,-2.4416,0.0,0.1,2.0645,0.7106,0.0,0.0,,,,,,,
3.9887,3.9874,-2.4757,0.0,0.1,1.8753,0.5596,0.0,0.0,,,,,,,
3.7943,3.7922,-2.3883,0.0,0.1,2.107,0.5594,0.0,0.0,,,,,,,
3.742,3.7405,-2.6032,0.0,0.1,3.1863,1.6125,0.0,0.0,,,,,,,
3.6898,3.6886,-2.5899,0.0,0.1,3.9416,1.9021,0.0,0.0,,,,,,,
3.8597,3.8602,-2.7014,0.0,0.1,2.1182,0.9986,0.0,0.0,,,,,,,
4.1106,4.1078,-2.6993,0.0,0.1,3.5589,1.6503,0.0,0.0,,,,,,,
3.6991,3.6973,-2.5642,0.0,0.1,2.1284,0.5513,0.0,0.0,,,,,,,
3.7178,3.7146,-2.4969,0.0,0.1,3.4668,1.4508,0.0,0.0,,,,,,,
3.3698,3.3699,-2.6083,0.0,0.1,2.1158,1.2442,0.0,0.0,,,,,,,
3.4857,3.4839,-2.6724,0.0,0.1,2.8748,1.4604,0.0,0.0,,,,,,,
3.4029,3.4015,-2.6953,0.0,0.1,2.0912,1.0264,0.0,0.0,,,,,,,
3.6661,3.6627,-2.8651,0.0,0.1,1.87,0.4578,0.0,0.0,,,,,,,
3.8857,3.8852,-2.783,0.0,0.1,1.9368,0.5631,0.0,0.0,,,,,,,
3.7226,3.7173,-2.8451,0.0,0.1,2.3587,1.5083,0.0,0.0,,,,,,,
3.4186,3.4193,-2.7529,0.0,0.1,1.9203,0.5515,0.0,0.0,,,,,,,
3.436,3.4331,-2.9017,0.0,0.1,3.7751,2.4469,0.0,0.0,,,,,,,
3.3797,3.3809,-2.7999,0.0,0.1,2.3515,0.8981,0.0,0.0,,,,,,,
3.9456,3.9426,-2.9166,0.0,0.1,2.1345,0.9781,0.0,0.0,,,,,,,
3.3662,3.3652,-2.9249,0.0,0.1,3.9742,2.8999,0.0,0.0,,,,,,,
3.3366,3.3344,-3.0406,0.0,0.1,1.7978,0.5069,0.0,0.0,,,,,,,
3.4912,3.4897,-2.8418,0.0,0.1,3.9344,1.917,0.0,0.0,,,,,,,
3.3781,3.3765,-2.9795,0.0,0.1,2.1093,0.6941,0.0,0.0,,,,,,,
3.4074,3.4024,-2.9987,0.0,0.1,2.2731,1.0462,0.0,0.0,,,,,,,
2.9142,2.9132,-3.0188,0.0,0.1,1.7317,0.4481,0.0,0.0,,,,,,,
3.6312,3.6306,-2.9525,0.0,0.1,2.8933,1.1076,0.0,0.0,,,,,,,
3.4533,3.4532,-3.0804,0.0,0.1,1.8493,0.5588,0.0,0.0,,,,,,,
3.1341,3.1317,-3.0337,0.0,0.1,3.0384,3.7049,0.0,0.0,,,,,,,
3.3354,3.3357,-3.0704,0.0,0.1,1.8861,0.7174,0.0,0.0,,,,,,,
3.3655,3.3621,-3.1503,0.0,0.1,2.0222,0.902,0.0,0.0,,,,,,,
3.0785,3.0745,-3.0638,0.0,0.1,1.8598,0.9333,0.0,0.0,,,,,,,
3.2963,3.29,-3.1742,0.0,0.1,12.4657,16.0732,0.0,0.0,,,,,,,
2.9886,2.9872,-3.2021,0.0,0.1,1.8297,0.4132,0.0,0.0,,,,,,,
3.0916,3.0908,-3.1568,0.0,0.1,1.9593,0.7331,0.0,0.0,,,,,,,
