rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,rl_loss/q_grad_norm,rl_loss/q_rnn_grad_norm,rl_loss/pi_grad_norm,rl_loss/pi_rnn_grad_norm,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
14.0787,14.1085,3.3436,1.0935,0.1,4.062,13.5631,0.0825,0.2402,,,,,,,
,,,,,,,,,4893,70,1000,-200.0,100.0,302,16.1603
2.7341,2.8058,7.3967,0.8034,0.1,6.676,20.6909,0.142,0.3619,,,,,,,
,,,,,,,,,6188,95,2000,-68.0,17.0,374,18.1582
9.1504,9.5849,8.9207,0.3985,0.1,15.9683,59.585,0.0548,0.1129,,,,,,,
15.0018,15.3489,6.4862,0.0407,0.1,15.3749,59.1168,0.019,0.0427,,,,,,,
7.4127,7.625,3.0045,0.0209,0.1,22.2493,79.4972,0.0248,0.0696,,,,,,,
,,,,,,,,,9793,170,5000,-54.0,7.0,532,22.8027
13.3265,13.3946,1.9745,0.0128,0.1,14.325,44.6701,0.0228,0.0459,,,,,,,
12.2468,12.2893,1.6398,0.0116,0.1,11.2761,33.5815,0.0104,0.021,,,,,,,
,,,,,,,,,10244,220,7000,2.0,9.0,633,4.4382
13.0952,13.1288,1.5722,0.006,0.1,11.7509,28.0277,0.0187,0.0379,,,,,,,
11.9782,11.9825,1.0094,0.0086,0.1,14.6403,42.8497,0.0119,0.0261,,,,,,,
11.6442,11.6745,0.5594,0.0029,0.1,5.3856,12.906,0.0076,0.0163,,,,,,,
11.1743,11.2164,0.9094,0.0024,0.1,18.6465,46.9722,0.0311,0.074,,,,,,,
11.4539,11.4856,0.8991,0.005,0.1,15.4199,38.0045,0.0799,0.1802,,,,,,,
10.8967,10.9063,-0.0308,0.0079,0.1,12.0433,30.8811,0.0003,0.0006,,,,,,,
10.969,10.9794,-0.1996,0.0039,0.1,7.2207,16.0106,0.007,0.0165,,,,,,,
11.0874,11.0918,-0.4497,0.0028,0.1,10.6859,23.3247,0.019,0.0504,,,,,,,
10.4591,10.4717,-0.5961,0.0004,0.1,8.0322,16.3052,0.0002,0.0003,,,,,,,
9.9424,9.954,-0.4802,0.0001,0.1,5.7244,9.4289,0.0,0.0,,,,,,,
9.8504,9.8516,-0.3082,0.0,0.1,9.7146,25.9684,0.0,0.0,,,,,,,
,,,,,,,,,12719,495,18000,2.0,9.0,1193,4.423
10.4094,10.4175,-0.4097,0.0,0.1,6.2406,13.8641,0.0,0.0,,,,,,,
9.4761,9.4748,-0.4365,0.0,0.1,5.0018,8.9517,0.0,0.0,,,,,,,
9.1434,9.1417,-0.5484,0.0,0.1,10.0615,21.4999,0.0,0.0,,,,,,,
9.4613,9.4663,-0.4961,0.0,0.1,12.9474,42.9527,0.0,0.0,,,,,,,
9.2253,9.2318,-0.796,0.0,0.1,2.8604,3.5593,0.0,0.0,,,,,,,
8.5178,8.5261,-0.9018,0.0,0.1,4.1246,4.5217,0.0,0.0,,,,,,,
9.0404,9.0401,-0.9363,0.0,0.1,7.9276,16.1811,0.0,0.0,,,,,,,
9.1037,9.1119,-1.0784,0.0,0.1,7.3443,13.2837,0.0,0.0,,,,,,,
8.948,8.9427,-1.2827,0.0,0.1,11.9035,21.4129,0.0,0.0,,,,,,,
8.2666,8.2784,-1.326,0.0,0.1,3.5977,3.7736,0.0,0.0,,,,,,,
8.1358,8.1368,-1.386,0.0,0.1,3.8118,6.2085,0.0,0.0,,,,,,,
,,,,,,,,,15194,770,29000,2.0,9.0,1778,4.227
9.3425,9.3522,-1.6065,0.0,0.1,6.9776,15.9967,0.0,0.0,,,,,,,
8.1411,8.1442,-1.7607,0.0,0.1,6.2105,7.6302,0.0,0.0,,,,,,,
8.0704,8.0779,-1.7858,0.0,0.1,2.968,3.6157,0.0,0.0,,,,,,,
7.6259,7.6175,-1.8314,0.0,0.1,3.4341,3.581,0.0,0.0,,,,,,,
7.4619,7.4667,-1.7626,0.0,0.1,6.0051,9.4954,0.0,0.0,,,,,,,
7.5018,7.4929,-1.8676,0.0001,0.1,2.4712,2.1595,0.0,0.0,,,,,,,
7.6128,7.6124,-1.7341,0.0,0.1,3.5479,2.7711,0.0,0.0,,,,,,,
7.2014,7.1865,-1.8382,0.0,0.1,3.3116,2.8705,0.0,0.0,,,,,,,
7.9301,7.9499,-1.8821,0.0,0.1,2.6,2.1237,0.0,0.0,,,,,,,
7.0927,7.0703,-2.0612,0.0,0.1,5.0128,6.0823,0.0,0.0,,,,,,,
6.7469,6.76,-2.1705,0.0,0.1,3.5004,3.3872,0.0,0.0,,,,,,,
,,,,,,,,,17669,1045,40000,2.0,9.0,2337,4.4287
7.2451,7.2573,-2.161,0.0,0.1,17.5743,39.7366,0.0,0.0,,,,,,,
7.0119,7.0067,-2.2661,0.0,0.1,4.1719,4.2968,0.0,0.0,,,,,,,
6.7346,6.7329,-2.3617,0.0,0.1,4.353,4.5686,0.0,0.0,,,,,,,
6.6016,6.5826,-2.399,0.0,0.1,3.4102,3.445,0.0,0.0,,,,,,,
7.9745,7.9524,-2.3934,0.0,0.1,11.6462,31.105,0.0,0.0,,,,,,,
6.8466,6.8463,-2.4081,0.0,0.1,2.2532,1.4201,0.0,0.0,,,,,,,
6.6819,6.6624,-2.5595,0.0,0.1,7.3705,10.6086,0.0,0.0,,,,,,,
6.2637,6.2634,-2.6248,0.0,0.1,5.867,5.3771,0.0,0.0,,,,,,,
6.2996,6.3036,-2.7287,0.0,0.1,5.2326,8.1508,0.0,0.0,,,,,,,
6.3745,6.3652,-2.7471,0.0,0.1,2.6635,1.9719,0.0,0.0,,,,,,,
6.6873,6.6884,-2.7463,0.0,0.1,2.6414,1.5348,0.0,0.0,,,,,,,
,,,,,,,,,20144,1320,51000,2.0,9.0,3058,3.4346
5.7161,5.6855,-2.8248,0.0,0.1,5.4628,4.4849,0.0,0.0,,,,,,,
5.8227,5.8242,-2.9141,0.0,0.1,8.9406,11.2679,0.0,0.0,,,,,,,
7.2389,7.2413,-2.9795,0.0,0.1,5.4093,7.1525,0.0,0.0,,,,,,,
5.7791,5.7884,-3.076,0.0,0.1,3.1091,2.9602,0.0,0.0,,,,,,,
5.9318,5.9318,-3.0671,0.0,0.1,2.0076,1.2088,0.0,0.0,,,,,,,
5.5503,5.5458,-3.1,0.0,0.1,2.1857,1.468,0.0,0.0,,,,,,,
5.5576,5.558,-3.0949,0.0,0.1,2.0003,1.1026,0.0,0.0,,,,,,,
9.5509,9.5447,-3.0684,0.0,0.1,3.7279,3.7923,0.0,0.0,,,,,,,
7.463,7.4742,-3.086,0.0,0.1,8.0096,16.4554,0.0,0.0,,,,,,,
6.3797,6.3441,-2.8355,0.0,0.1,2.2081,1.1117,0.0,0.0,,,,,,,
6.1057,6.131,-2.8322,0.0,0.1,2.2621,1.5583,0.0,0.0,,,,,,,
,,,,,,,,,22619,1595,62000,2.0,9.0,3649,4.1867
6.1398,6.1408,-2.8264,0.0,0.1,13.8968,32.7878,0.0,0.0,,,,,,,
5.3686,5.37,-2.8386,0.0,0.1,3.2247,3.0122,0.0,0.0,,,,,,,
5.2348,5.2151,-2.9548,0.0,0.1,1.961,1.0751,0.0,0.0,,,,,,,
5.4413,5.4543,-2.9915,0.0,0.1,2.2676,1.7344,0.0,0.0,,,,,,,
4.9379,4.9298,-3.0509,0.0,0.1,4.3227,5.2231,0.0,0.0,,,,,,,
5.3391,5.3387,-3.1901,0.0,0.1,2.3063,1.4082,0.0,0.0,,,,,,,
4.9565,4.9505,-3.0462,0.0,0.1,2.7386,2.5587,0.0,0.0,,,,,,,
5.7718,5.7632,-3.1382,0.0,0.1,2.7838,1.6256,0.0,0.0,,,,,,,
5.098,5.0835,-3.167,0.0,0.1,4.6374,7.8084,0.0,0.0,,,,,,,
5.3392,5.3337,-3.2693,0.0,0.1,3.0668,2.7839,0.0,0.0,,,,,,,
4.4157,4.4233,-3.2144,0.0,0.1,3.2515,2.5579,0.0,0.0,,,,,,,
,,,,,,,,,25094,1870,73000,2.0,9.0,4378,3.3943
5.0428,5.0354,-3.2512,0.0,0.1,2.1542,1.0169,0.0,0.0,,,,,,,
5.0768,5.072,-3.3393,0.0,0.1,2.7167,2.1066,0.0,0.0,,,,,,,
4.6804,4.674,-3.1468,0.0,0.1,2.3079,1.1588,0.0,0.0,,,,,,,
4.596,4.5995,-3.3911,0.0,0.1,4.7094,5.9416,0.0,0.0,,,,,,,
4.8217,4.8186,-3.4018,0.0,0.1,3.5486,2.6114,0.0,0.0,,,,,,,
